proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\BinaryInExpression.vb,217,24,32,161,1,5,1,7,0,8884,8.88 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\BinaryOrExpression.vb,76,5,13,58,1,5,1,2,0,2640,2.64 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\DataFrameProjection.vb,51,5,11,35,1,2,0,1,0,1776,1.78 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\DataFrameSlice.vb,51,5,11,35,1,2,0,1,0,1760,1.76 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\DotNetObject.vb,118,7,19,92,1,4,1,5,0,4715,4.71 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\ReturnValue.vb,57,7,9,41,1,3,1,2,0,1892,1.89 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\StringBinaryExpression.vb,102,13,17,72,1,0,0,3,0,4084,4.08 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\UnaryNot.vb,55,3,11,41,1,2,1,3,0,1636,1.64 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\UnaryNumeric.vb,69,6,11,52,1,2,1,2,0,2432,2.43 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\ValueAssignOperator\dataframeValueAssign.vb,113,2,16,95,1,0,0,3,0,4659,4.66 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Operators\ValueAssignOperator\ValueAssignExpression.vb,542,54,84,404,1,5,3,13,0,23185,23.18 KB
